beta,gamma,checkpoint,P20,P50,P80,stability_score,top1
0.0,0.0,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.81925,ckpt_16000
0.0,0.0,ckpt_20000,0.64938,0.65985,0.67032,0.65985,ckpt_16000
0.0,0.0,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6540999999999999,ckpt_16000
0.0,0.0,ckpt_4000,0.49302,0.60765,0.72228,0.60765,ckpt_16000
0.0,0.0,ckpt_12000,0.48866,0.5603,0.63194,0.5603,ckpt_16000
0.0,0.0,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.44215000000000004,ckpt_16000
0.0,0.1,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8208850000000001,ckpt_16000
0.0,0.1,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6612099999999999,ckpt_16000
0.0,0.1,ckpt_20000,0.64938,0.65985,0.67032,0.6608970000000001,ckpt_16000
0.0,0.1,ckpt_4000,0.49302,0.60765,0.72228,0.619113,ckpt_16000
0.0,0.1,ckpt_12000,0.48866,0.5603,0.63194,0.567464,ckpt_16000
0.0,0.1,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.44954500000000003,ckpt_16000
0.0,0.25,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8233375,ckpt_16000
0.0,0.25,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6718749999999999,ckpt_16000
0.0,0.25,ckpt_20000,0.64938,0.65985,0.67032,0.6624675,ckpt_16000
0.0,0.25,ckpt_4000,0.49302,0.60765,0.72228,0.6363075,ckpt_16000
0.0,0.25,ckpt_12000,0.48866,0.5603,0.63194,0.57821,ckpt_16000
0.0,0.25,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.46063750000000003,ckpt_16000
0.0,0.5,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8274250000000001,ckpt_16000
0.0,0.5,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6896499999999999,ckpt_16000
0.0,0.5,ckpt_20000,0.64938,0.65985,0.67032,0.665085,ckpt_16000
0.0,0.5,ckpt_4000,0.49302,0.60765,0.72228,0.664965,ckpt_16000
0.0,0.5,ckpt_12000,0.48866,0.5603,0.63194,0.59612,ckpt_16000
0.0,0.5,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.479125,ckpt_16000
0.25,0.0,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8151625,ckpt_16000
0.25,0.0,ckpt_20000,0.64938,0.65985,0.67032,0.6572325,ckpt_16000
0.25,0.0,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6363249999999999,ckpt_16000
0.25,0.0,ckpt_4000,0.49302,0.60765,0.72228,0.5789925,ckpt_16000
0.25,0.0,ckpt_12000,0.48866,0.5603,0.63194,0.54239,ckpt_16000
0.25,0.0,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.42366250000000005,ckpt_16000
0.25,0.1,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.8167975000000001,ckpt_16000
0.25,0.1,ckpt_20000,0.64938,0.65985,0.67032,0.6582795,ckpt_16000
0.25,0.1,ckpt_8000,0.583,0.6540999999999999,0.7252,0.643435,ckpt_16000
0.25,0.1,ckpt_4000,0.49302,0.60765,0.72228,0.5904555,ckpt_16000
0.25,0.1,ckpt_12000,0.48866,0.5603,0.63194,0.549554,ckpt_16000
0.25,0.1,ckpt_2000,0.3682,0.44215000000000004,0.5161,0.43105750000000004,ckpt_16000
0.25,0.25,ckpt_16000,0.8029000000000001,0.81925,0.8356,0.81925,ckpt_16000
0.25,0.25,ckpt_20000,0.64938,0.65985,0.67032,0.65985,ckpt_16000
0.25,0.25,ckpt_8000,0.583,0.6540999999999999,0.7252,0.6540999999999999,ckpt_16000
0.25,0.25,ckpt_4000,0.49302,0.60765,0.72228,0.60765,ckpt_16000
