sample_id,checkpoint,score,factuality,relevance,usefulness,grounding,hallucination_penalty,rationale
sample_0001,ckpt_12000,0.6797,0.6797,0.7097,0.6797,0.6597,0.3203,MOCK
sample_0001,ckpt_2000,0.3189,0.3189,0.3489,0.3189,0.2989,0.6811,MOCK
sample_0001,ckpt_8000,0.7726,0.7726,0.8026,0.7726,0.7526,0.2274,MOCK
sample_0001,ckpt_20000,0.6773,0.6773,0.7073,0.6773,0.6573,0.3227,MOCK
sample_0001,ckpt_4000,0.7987,0.7987,0.8287,0.7987,0.7787,0.2013,MOCK
sample_0001,ckpt_16000,0.8465,0.8465,0.8765,0.8465,0.8265,0.1535,MOCK
sample_0002,ckpt_8000,0.5356,0.5356,0.5656,0.5356,0.5156,0.4644,MOCK
sample_0002,ckpt_20000,0.6424,0.6424,0.6724,0.6424,0.6224,0.3576,MOCK
sample_0002,ckpt_16000,0.792,0.792,0.822,0.792,0.772,0.208,MOCK
sample_0002,ckpt_4000,0.4166,0.4166,0.4466,0.4166,0.3966,0.5834,MOCK
sample_0002,ckpt_12000,0.4409,0.4409,0.4709,0.4409,0.4209,0.5591,MOCK
sample_0002,ckpt_2000,0.5654,0.5654,0.5954,0.5654,0.5454,0.4346,MOCK
